game_id,minute,side,type
4866,68,away,red_card
4867,78,home,red_card
4867,90,away,red_card
4870,76,home,red_card
4876,12,home,red_card
4886,54,home,red_card
4886,66,away,red_card
4890,63,away,red_card
4895,87,home,red_card
4901,17,away,red_card
4905,67,home,red_card
4906,56,away,red_card
4907,71,home,red_card
4917,84,home,red_card
4922,90,away,red_card
4927,90,home,red_card
4931,90,away,red_card
4935,82,home,red_card
4942,66,home,red_card
4945,29,away,red_card
4952,32,away,red_card
4953,78,away,red_card
4955,90,home,red_card
4955,90,home,red_card
4955,90,away,red_card
4956,30,away,red_card
4963,90,away,red_card
4965,63,home,red_card
4966,59,away,red_card
4967,80,home,red_card
4969,90,home,red_card
4969,81,away,red_card
4986,87,home,red_card
4986,51,away,red_card
4986,58,away,red_card
4987,68,away,red_card
4989,72,away,red_card
4991,32,away,red_card
4997,80,home,red_card
5001,56,away,red_card
5006,90,away,red_card
5013,90,home,red_card
5020,32,home,red_card
5020,52,home,red_card
5022,58,home,red_card
5034,52,home,red_card
5034,90,away,red_card
5035,32,away,red_card
5044,90,home,red_card
5045,9,away,red_card
5046,87,away,red_card
5058,79,home,red_card
5061,90,away,red_card
5064,57,home,red_card
5067,90,away,red_card
5069,79,away,red_card
5080,90,away,red_card
5081,26,away,red_card
5085,88,away,red_card
5087,39,home,red_card
5101,73,home,red_card
5107,42,home,red_card
5107,90,home,red_card
5107,90,home,red_card
5107,90,away,red_card
5108,65,away,red_card
5110,90,away,red_card
5112,44,away,red_card
5114,41,home,red_card
5115,27,away,red_card
5122,62,away,red_card
5124,90,home,red_card
5125,90,home,red_card
5126,75,away,red_card
5143,73,home,red_card
5143,90,away,red_card
5156,71,away,red_card
5157,66,away,red_card
5161,90,home,red_card
5163,90,home,red_card
5166,51,away,red_card
5172,74,away,red_card
5176,89,home,red_card
5176,89,away,red_card
5181,87,home,red_card
5185,90,home,red_card
5185,45,away,red_card
5185,90,away,red_card
5189,64,home,red_card
5195,41,away,red_card
5211,55,home,red_card
5223,86,home,red_card
5224,34,home,red_card
5224,86,away,red_card
5228,90,away,red_card
5230,82,home,red_card
5235,67,away,red_card
5242,84,away,red_card
5245,32,away,red_card
5247,37,home,red_card
5256,56,away,red_card
5263,90,away,red_card
5267,45,away,red_card
5274,42,home,red_card
5275,88,home,red_card
5276,67,away,red_card
5278,74,home,red_card
5288,51,away,red_card
5295,37,home,red_card
5298,45,away,red_card
5299,28,away,red_card
5302,90,away,red_card
5303,90,home,red_card
5304,85,home,red_card
5304,81,away,red_card
5304,85,away,red_card
5311,86,home,red_card
5318,50,home,red_card
5325,70,away,red_card
5328,72,home,red_card
5330,80,home,red_card
5331,76,away,red_card
5334,30,away,red_card
5334,45,away,red_card
5339,73,home,red_card
5344,84,away,red_card
5348,53,away,red_card
5349,90,away,red_card
5357,85,home,red_card
5359,77,home,red_card
5364,76,home,red_card
5378,81,away,red_card
5381,45,away,red_card
5382,39,home,red_card
5382,44,away,red_card
5384,90,home,red_card
5388,23,away,red_card
5393,90,away,red_card
5394,25,away,red_card
5414,52,away,red_card
5418,88,home,red_card
5421,44,away,red_card
5436,19,home,red_card
5456,74,home,red_card
5457,5,home,red_card
5457,40,home,red_card
5464,81,home,red_card
5465,86,away,red_card
5467,69,away,red_card
5468,20,home,red_card
5468,68,away,red_card
5470,80,away,red_card
5471,89,away,red_card
5473,73,home,red_card
5477,75,away,red_card
5492,90,away,red_card
5500,90,away,red_card
5504,67,away,red_card
5504,90,away,red_card
5505,74,home,red_card
5506,83,home,red_card
5507,69,away,red_card
5510,76,away,red_card
5511,69,away,red_card
5511,77,away,red_card
5516,74,away,red_card
5524,80,away,red_card
5533,90,home,red_card
5535,71,away,red_card
5536,61,home,red_card
5539,90,home,red_card
5545,45,home,red_card
5545,28,away,red_card
5550,90,away,red_card
5551,57,home,red_card
5551,67,away,red_card
5576,90,away,red_card
5586,66,away,red_card
5587,70,away,red_card
5601,86,away,red_card
5607,63,away,red_card
5607,77,away,red_card
5616,62,away,red_card
5616,77,away,red_card
5619,88,home,red_card
5627,90,home,red_card
5632,78,away,red_card
5637,88,away,red_card
5639,29,away,red_card
5643,25,home,red_card
5647,66,home,red_card
5651,75,home,red_card
5657,90,home,red_card
5670,41,home,red_card
5670,45,away,red_card
5674,90,away,red_card
5675,17,away,red_card
5676,53,away,red_card
5685,52,home,red_card
5686,56,home,red_card
5687,90,away,red_card
5688,50,away,red_card
5690,90,home,red_card
5690,66,away,red_card
5694,61,away,red_card
5700,90,away,red_card
5701,74,home,red_card
5702,72,home,red_card
5716,53,away,red_card
5721,78,home,red_card
5726,4,away,red_card
5734,71,away,red_card
5737,81,away,red_card
5738,57,away,red_card
5747,76,away,red_card
5747,82,away,red_card
5751,70,home,red_card
5754,90,home,red_card
5755,71,away,red_card
5756,62,home,red_card
5764,80,away,red_card
5769,60,home,red_card
5769,85,away,red_card
5770,86,home,red_card
5771,60,away,red_card
5793,12,away,red_card
5799,57,home,red_card
5801,90,away,red_card
5806,61,home,red_card
5806,90,home,red_card
5825,17,home,red_card
5841,71,home,red_card
5844,13,home,red_card
5848,54,home,red_card
5852,75,home,red_card
5855,85,away,red_card
5858,75,away,red_card
5860,90,away,red_card
5861,40,home,red_card
5862,90,away,red_card
5864,39,home,red_card
